case,target,architecture,framework,fitted_slope
nsb_log_d8,p,mlp_10x100_relu,pytorch,-0.4143613619231121
nsb_log_d8,p,mlp_10x100_tanh,jax,-0.13114613755381907
nsb_log_d8,p,mlp_10x100_tanh,pytorch,-0.13576881827995801
nsb_log_d8,p,mlp_4x40_elu,jax,-1.3195129384509492
nsb_log_d8,p,mlp_4x40_elu,pytorch,-1.3038204312012478
nsb_log_d8,p,mlp_4x40_relu,jax,-0.6404799889335898
nsb_log_d8,p,mlp_4x40_relu,pytorch,-0.6125066257899976
nsb_log_d8,p,mlp_4x40_tanh,jax,-1.3055788807565125
nsb_log_d8,p,mlp_4x40_tanh,pytorch,-1.3224756282566532
nsb_log_d8,u,mlp_10x100_elu,jax,-1.3479567840003106
nsb_log_d8,u,mlp_10x100_elu,pytorch,-1.364744241395511
nsb_log_d8,u,mlp_10x100_relu,jax,-0.4624101662967036
nsb_log_d8,u,mlp_10x100_relu,pytorch,-0.38691492645716496
nsb_log_d8,u,mlp_10x100_tanh,jax,-0.18040711167884432
nsb_log_d8,u,mlp_10x100_tanh,pytorch,-0.24156243163408964
nsb_log_d8,u,mlp_4x40_elu,jax,-1.5591909725144297
nsb_log_d8,u,mlp_4x40_elu,pytorch,-1.5489990502728008
nsb_log_d8,u,mlp_4x40_relu,jax,-0.8060876667155432
nsb_log_d8,u,mlp_4x40_relu,pytorch,-0.8990082805314237
nsb_log_d8,u,mlp_4x40_tanh,jax,-1.5052413914776965
nsb_log_d8,u,mlp_4x40_tanh,pytorch,-1.4971583096783416
