case,target,architecture,activation,framework,gmean_error_m500,gstd_error_m500,n_trials
nsb_log_d4,p,mlp_4x40_elu,elu,jax,0.020422657379385444,1.1437231849852878,12
nsb_log_d4,p,mlp_4x40_elu,elu,pytorch,0.02027658231062019,1.1965226112239806,12
nsb_log_d4,p,mlp_4x40_relu,relu,jax,0.04109900484101521,1.09289088375367,12
nsb_log_d4,p,mlp_4x40_relu,relu,pytorch,0.03977266053386073,1.1470350405714733,12
nsb_log_d4,p,mlp_4x40_tanh,tanh,jax,0.03673372643694497,1.3088587599711063,12
nsb_log_d4,p,mlp_4x40_tanh,tanh,pytorch,0.03841978856076837,1.2911560625462526,12
nsb_log_d4,u,mlp_10x100_elu,elu,jax,0.009678652698574437,1.0867268938638854,12
nsb_log_d4,u,mlp_10x100_elu,elu,pytorch,0.009775215254304064,1.0715567537230302,12
nsb_log_d4,u,mlp_10x100_relu,relu,jax,0.04589990096279816,1.127193701189241,12
nsb_log_d4,u,mlp_10x100_relu,relu,pytorch,0.04631755090070677,1.2054595052289423,12
nsb_log_d4,u,mlp_10x100_tanh,tanh,jax,0.038344630177387526,1.31165907497988,12
nsb_log_d4,u,mlp_10x100_tanh,tanh,pytorch,0.04073385539079492,1.3906163073547522,12
nsb_log_d4,u,mlp_4x40_elu,elu,jax,0.009129961375274508,1.0679673311334659,12
nsb_log_d4,u,mlp_4x40_elu,elu,pytorch,0.008965844432139235,1.0661371062902438,12
nsb_log_d4,u,mlp_4x40_relu,relu,jax,0.024245884552816274,1.1505377446099263,12
nsb_log_d4,u,mlp_4x40_relu,relu,pytorch,0.024367966236006358,1.159354170517257,12
nsb_log_d4,u,mlp_4x40_tanh,tanh,jax,0.008971941615338609,1.0629306196462591,12
nsb_log_d4,u,mlp_4x40_tanh,tanh,pytorch,0.009036700334081027,1.039963957357419,12
nsb_log_d8,p,mlp_10x100_elu,elu,jax,0.035975264282515046,1.0573574201322835,12
nsb_log_d8,p,mlp_10x100_elu,elu,pytorch,0.03602857988294855,1.0708634951987828,12
nsb_log_d8,p,mlp_10x100_relu,relu,jax,0.12549059778291605,1.0293153060349836,12
nsb_log_d8,p,mlp_10x100_relu,relu,pytorch,0.1280386464802644,1.054944012962532,12
nsb_log_d8,p,mlp_10x100_tanh,tanh,jax,0.09797696910195383,1.0493794486270611,12
nsb_log_d8,p,mlp_10x100_tanh,tanh,pytorch,0.09696471518743473,1.0579206025236823,12
nsb_log_d8,p,mlp_4x40_elu,elu,jax,0.01904825483984604,1.066287355854497,12
nsb_log_d8,p,mlp_4x40_elu,elu,pytorch,0.018801930602271207,1.0511703488680944,12
nsb_log_d8,p,mlp_4x40_relu,relu,jax,0.06774699744128077,1.1287395629025534,12
nsb_log_d8,p,mlp_4x40_relu,relu,pytorch,0.06489313860840487,1.1257768195268296,12
nsb_log_d8,p,mlp_4x40_tanh,tanh,jax,0.027380255886421026,1.1012665982307066,12
nsb_log_d8,p,mlp_4x40_tanh,tanh,pytorch,0.02671602727659177,1.1017416334842622,12
nsb_log_d8,u,mlp_10x100_elu,elu,jax,0.015304820017460634,1.0564753006186374,12
nsb_log_d8,u,mlp_10x100_elu,elu,pytorch,0.01515607952366849,1.0623084032937444,12
nsb_log_d8,u,mlp_10x100_relu,relu,jax,0.10536367438303985,1.0684611306556897,12
nsb_log_d8,u,mlp_10x100_relu,relu,pytorch,0.10591180470567628,1.0711936079634725,12
nsb_log_d8,u,mlp_10x100_tanh,tanh,jax,0.12120152316248883,1.142453942785148,12
nsb_log_d8,u,mlp_10x100_tanh,tanh,pytorch,0.11079723461472026,1.1957003388192529,12
nsb_log_d8,u,mlp_4x40_elu,elu,jax,0.010177969802576875,1.0581731147070443,12
nsb_log_d8,u,mlp_4x40_elu,elu,pytorch,0.010490380649219267,1.0549016681707406,12
nsb_log_d8,u,mlp_4x40_relu,relu,jax,0.03451752210621747,1.1585794852890294,12
nsb_log_d8,u,mlp_4x40_relu,relu,pytorch,0.038200025261498856,1.1759900262453273,12
nsb_log_d8,u,mlp_4x40_tanh,tanh,jax,0.009102995516849295,1.0361858355275417,12
nsb_log_d8,u,mlp_4x40_tanh,tanh,pytorch,0.008947657519175345,1.0382440755011835,12
